raw_content,clean_content
"Forcing someone to pray with threat of jail sentence in a country with ""freedom"" of Religion is BULLYING - NO????",forcing someone pray threat jail sentence country freedom religion bullying no
Nyawa demi nyawa.,nyawa demi nyawa
Good job support ??????,good job support
"May justice prevail.
Btw, Camelia Azlan, your pronunciation is TOP NOTCH!
K U D O S !",may justice prevail btw camelia azlan pronunciation top notch k u
What would you feel if your daughter was treated like that? Atrocious,would feel daughter treated like atrocious
Justice fro Zara,justice fro zara
Correction: Girls get bullied more often when they do not come from well to do background. They are taken advantage of because they seem to lack the right connection.,correction girl get bullied often not come well background taken advantage seem lack right connection
"Girls are the common targets of bullies because them seem weak and weaker so if they do come from well to do backgrounds.  In the case of tom boys.....matters can get really out of hand when the she-he gets itchy.  Out goes shyness, guilt and morality.",girl common target bully seem weak weaker come well background case tom boysmatters get really hand shehe get itchy go shyness guilt morality
Best Presenter. Very Energetic.,best presenter energetic
"A life is PRECIOUS no matter what colour, race , gender etc !
No one has a right to cause anyone harm !
SHAME on those called "" parents"" !
They , too should be ACCOUNTABLE & RESPONSIBLE on the death of a child ! 
Justice must prevail !",life precious no matter colour race gender etc no one right cause anyone harm shame called parent accountable responsible death child justice must prevail
BULLY DI KEPALA BATAS,bully di kepala bata
Who are the 5 of them killed Zara?,killed zara
"More interested in the person or persons for the Murder,",interested person person murder
"A very sorry state of affairs with PDRM. Just because the victim was from an ordinary mother, the case was speeded up without SOP. No public outcry! Nothing happens. Now all the bozos in Parliament full of drama. Education Minister must be sacked. School principal must be sacked. Show no mercy to the student bullies.",sorry state affair pdrm victim ordinary mother case speeded without sop no public outcry nothing happens bozo parliament full drama education minister must sacked school principal must sacked show no mercy student bully
"Bullying are  every where in universities on the road, government department , private sectors, sports even in politics Sometime report and no action taken",bullying every university road government department private sector sport even politics sometime report no action taken
I wanna ask home minister Daigudin what would have happened if Sabah natives have not rallied foXar . Now Dsifudon is trying to frighten the public for raising the alarm onwushy washy police work???!,wanna ask home minister daigudin would happened sabah native not rallied foxar dsifudon trying frighten public raising alarm onwushy washy police work
"Please don??t give the Centenarian who still is power crazy any media coverage, let??s compel him into retirement. He has done enough! 5:21",please dont give centenarian still power crazy medium coverage let compel retirement done enough
"Kasi buang je pegawai penyiasat tu,takut ke nk buang.",kasi buang je pegawai penyiasat tutakut ke nk buang
Big school no security gard? Ang have children in dorm. No more gard? Cct we're is cct.,big school no security gard ang child dorm no gard cct cct
allah will reviel the truth .,allah reviel truth
Semua dah mkn rahsuah,semua dah mkn rahsuah
Byk berbohong pengekuatkuasa,byk berbohong pengekuatkuasa
"Allahuakbar 3x,,, Ya Allah.. tolonglah adik Zara Qairina ,, dapatkan pengadilan untuknya,, semoga pembunuh adik Zara dapat hukuman seberat2nya  kerana telah membunuh. mencabut nyawa org yang x bersalah...kesian Allahyarhamah Adik Zara Qairina...  semoga pembunuh itu mendapat pembalasan di dunia ini dengan apa yg mereka telah perbuatkan dgn adik Zara.. Kifarah itu pasti ada... Ya Allah,  angkatlah Doa2 kami utk adik Zara yang dizalimi,,,  Doa2 org teraniaya tu Makbul...Aamiin..v",allahuakbar x ya allah tolonglah adik zara qairina dapatkan pengadilan untuknya semoga pembunuh adik zara dapat hukuman seberatnya kerana telah membunuh mencabut nyawa org yang x bersalahkesian allahyarhamah adik zara qairina semoga pembunuh itu mendapat pembalasan di dunia ini dengan apa yg mereka telah perbuatkan dgn adik zara kifarah itu pasti ada ya allah angkatlah doa kami utk adik zara yang dizalimi doa org teraniaya tu makbulaamiinv
Charge those try to cover up too!!!!!,charge try cover
Syaitan Bela syaitan,syaitan bela syaitan
THEY ONLY SCOUTS ...LAHAD DATU MASSACRE ALSO CANNOT SETTLE...APA LAGI..!,scout lahad datu massacre also cannot settleapa lagi
Kumar pun dah dpt rahsuah ??,kumar pun dah dpt rahsuah
pengetua & cikgu sekolah transfer. polis salah laku transfer....INI KES MURDER!,pengetua cikgu sekolah transfer polis salah laku transferini kes murder
Justice for Zara,justice zara
"Bagus Dato, jalan Kan Siasatan Pada 3 Officers tuu",bagus dato jalan kan siasatan pada officer tuu
Bullshit.. simple case..cannot  done properly..so bad to see..,bullshit simple casecannot done properlyso bad see
skrip lama..bila polis siasat polis.....i watch ur ass and u watch mine...,skrip lamabila polis siasat polisi watch ur as u watch mine
"Under gun point inspections, ??nothing could have been done!??",gun point inspection nothing could done
Take discipline action and demote all those corrupted officer's,take discipline action demote corrupted officer
Very late la terrible,late la terrible
Just quizzed??? Every student needs to have quizz in school everyday.,quizzed every student need quizz school everyday
"They want to target the police(IO) but the Zara case will be slow forgotten. 

We want them to know what bullies are doing ... what action the in-charge are taking, is there any news about the fairness or what? Where are action?",want target policeio zara case slow forgotten want know bully action incharge taking news fairness action
Check their account,check account
Why can't they focus on the bully issue first rather than jump here & there.  What we do not understand was there were some info's on the bullier with their group photos flying everywhere in medsos.Have they been questioned ?. The least we know are they the suspect or if not than the name should be clear & remove the posting.,cant focus bully issue first rather jump not understand info bullier group photo flying everywhere medsoshave questioned least know suspect not name clear remove posting
"Bukan x ok kalau nak siasat polis, boleh..cuma smpai sekarang si pelaku masih bebas dan x ditangkap. Lagi bagus kalau siasat siapa yg penyebab kematian ni.",bukan x ok kalau nak siasat polis bolehcuma smpai sekarang si pelaku masih bebas dan x ditangkap lagi bagus kalau siasat siapa yg penyebab kematian ni
Baguuuus Ambil Tindakan untuk keadilan.,baguuuus ambil tindakan untuk keadilan
jgn mcm kura kura buat kerja benda tue terang2 da mati trajis knpa ckap jatuh bngunan kang kau aku tolak atas bangunan xpecahka pala otak kau,jgn mcm kura kura buat kerja benda tue terang da mati trajis knpa ckap jatuh bngunan kang kau aku tolak atas bangunan xpecahka pala otak kau
Back to basics,back basic
Ini bukan satu kes je.. banyak kes kes yg tidak dapat keadilan yg setimbal ..,ini bukan satu kes je banyak kes kes yg tidak dapat keadilan yg setimbal
Nothing new..police still corrupted..Gangsters protecting Bangla.and Ronghiya..refuges..pls lah bull shit,nothing newpolice still corruptedgangsters protecting banglaand ronghiyarefugespls lah bull shit
"aku rasa

aku rasa je la

rasa je tau

bukan betul


tup tup hasil siasatan dia mcm kes letupan kat selangor baru ni.. tak seperti ape yg rakyat sangkakan..


mcam kes zara ni, aku rasa, rasa je tau, dgan sebulan tkde sape kena reman kena tahan.. aku rasa kes ni kategori mental dan suicide sbb kena bully.. dari situ tahu dah ending dia cmne..

aku harap bukan yg aku rasa.. sbb aku masih ade sikit je lagi kepercayaan aku pada pdrm..

ape yg pdrm sabah buat, jelas langgar kepercayaan rakyat.. tapi bukit aman juga turun ni, aku harap boleh kembalikan kepeecayaan rakyat..",aku rasa aku rasa je la rasa je tau bukan betul tup tup hasil siasatan dia mcm kes letupan kat selangor baru ni tak seperti ape yg rakyat sangkakan mcam kes zara ni aku rasa rasa je tau dgan sebulan tkde sape kena reman kena tahan aku rasa kes ni kategori mental dan suicide sbb kena bully dari situ tahu dah ending dia cmne aku harap bukan yg aku rasa sbb aku masih ade sikit je lagi kepercayaan aku pada pdrm ape yg pdrm sabah buat jelas langgar kepercayaan rakyat tapi bukit aman juga turun ni aku harap boleh kembalikan kepeecayaan rakyat
